Latitude,Longitude,Name,NameMnemonic,StateCode
41.672238,-83.568668,"Toledo, OH, Site",TLO,OH
42.992981,-78.920112,"Tonawanda North, NY, Site Unit 1",TN1,NY
42.998275,-78.915436,"Tonawanda North, NY, Site Unit 2",TN2,NY
42.97665,-78.89375,"Tonawanda, NY, Site",TON,NY
37.886032,-116.762188,"Tonopah Test Range, NV, Site",TTR,NV
36.145483,-111.134793,"Tuba City, AZ, Disposal Site",TUB,AZ
39.98549651,-109.6115518,"Utah, UT, Site",UTA,UT
37.6109403,-121.8386594,"Vallectios Nuclear Center, CA, Site",VNC,CA
40.96981,-74.27027,"Wayne, NJ, Site",WYN,NJ
38.698168,-90.728274,"Weldon Spring, MO, Site",WEL,MO
41.880214,-72.71927,"Windsor, CT, Site",WIN,CT
